dose,litter,nadv,malf,dead,litter_size,trinomial,dose_scale
1000,1,0,0,1,1,3,0.666666667
1000,2,0,0,1,4,3,0.666666667
1000,2,0,0,1,4,3,0.666666667
1000,2,0,0,1,4,3,0.666666667
1000,2,0,0,1,4,3,0.666666667
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,1,0,13,2,1
1500,3,0,0,1,13,3,1
1500,3,0,0,1,13,3,1
1500,3,0,0,1,13,3,1
1500,3,0,0,1,13,3,1
1000,4,0,0,1,6,3,0.666666667
1000,4,0,0,1,6,3,0.666666667
1000,4,0,0,1,6,3,0.666666667
1000,4,0,0,1,6,3,0.666666667
1000,4,0,0,1,6,3,0.666666667
1000,4,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1000,5,0,0,1,6,3,0.666666667
1500,6,0,1,0,12,2,1
1500,6,0,1,0,12,2,1
1500,6,0,1,0,12,2,1
1500,6,0,1,0,12,2,1
1500,6,0,1,0,12,2,1
1500,6,0,1,0,12,2,1
1500,6,0,0,1,12,3,1
1500,6,0,0,1,12,3,1
1500,6,0,0,1,12,3,1
1500,6,0,0,1,12,3,1
1500,6,0,0,1,12,3,1
1500,6,0,0,1,12,3,1
1500,7,0,1,0,11,2,1
1500,7,0,1,0,11,2,1
1500,7,0,1,0,11,2,1
1500,7,0,1,0,11,2,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,7,0,0,1,11,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,8,0,0,1,9,3,1
1500,9,0,1,0,14,2,1
1500,9,0,1,0,14,2,1
1500,9,0,1,0,14,2,1
1500,9,0,1,0,14,2,1
1500,9,0,1,0,14,2,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,9,0,0,1,14,3,1
1500,10,0,1,0,14,2,1
1500,10,0,1,0,14,2,1
1500,10,0,1,0,14,2,1
1500,10,0,1,0,14,2,1
1500,10,0,1,0,14,2,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,10,0,0,1,14,3,1
1500,11,0,1,0,14,2,1
1500,11,0,1,0,14,2,1
1500,11,0,1,0,14,2,1
1500,11,0,1,0,14,2,1
1500,11,0,1,0,14,2,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
1500,11,0,0,1,14,3,1
